name,repo_clone_url,age,releases_number,stargazers
CalendarView,https://github.com/huanghaibin-dev/CalendarView,5.0,0,8167
Android-SpinKit,https://github.com/ybq/Android-SpinKit,6.0,0,8159
quickstart-android,https://github.com/firebase/quickstart-android,6.0,0,8061
atlas,https://github.com/alibaba/atlas,5.0,7,8053
Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database,5.0,12,7974
feign,https://github.com/OpenFeign/feign,8.0,22,7934
AndResGuard,https://github.com/shwenzhang/AndResGuard,6.0,4,7911
material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,6.0,17,7903
HomeMirror,https://github.com/HannahMitt/HomeMirror,6.0,0,7897
SimianArmy,https://github.com/Netflix/SimianArmy,9.0,4,7869
source-code-hunter,https://github.com/doocs/source-code-hunter,2.0,0,7836
epoxy,https://github.com/airbnb/epoxy,5.0,70,7824
resilience4j,https://github.com/resilience4j/resilience4j,6.0,29,7829
LitePal,https://github.com/guolindev/LitePal,9.0,0,7813
hugo,https://github.com/JakeWharton/hugo,8.0,0,7790
hsweb-framework,https://github.com/hs-web/hsweb-framework,6.0,24,7792
RxLifecycle,https://github.com/trello/RxLifecycle,6.0,22,7693
dolphinscheduler,https://github.com/apache/dolphinscheduler,3.0,24,7557
Signal-Server,https://github.com/signalapp/Signal-Server,8.0,0,7538
react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,6.0,99,7530
RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,7.0,0,7526
metrics,https://github.com/dropwizard/metrics,12.0,86,7514
UltimateAndroidReference,https://github.com/aritraroy/UltimateAndroidReference,5.0,0,7475
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,6.0,27,7466
tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,1.0,9,7438
litho,https://github.com/facebook/litho,5.0,48,7361
Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,2.0,0,7354
hellocharts-android,https://github.com/lecho/hellocharts-android,7.0,14,7287
agera,https://github.com/google/agera,6.0,16,7283
dagger,https://github.com/square/dagger,9.0,0,7276
Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,8.0,5,7254
vjtools,https://github.com/vipshop/vjtools,3.0,9,7247
UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,7.0,9,7245
sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,7.0,2,7239
SpringCloud,https://github.com/zhoutaoo/SpringCloud,4.0,0,7239
subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,8.0,21,7226
AndroidAsync,https://github.com/koush/AndroidAsync,9.0,0,7202
cassandra,https://github.com/apache/cassandra,13.0,0,7194
MyBookshelf,https://github.com/gedoor/MyBookshelf,3.0,164,7194
TakePhoto,https://github.com/crazycodeboy/TakePhoto,6.0,15,7180
ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,11.0,32,7155
ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,8.0,0,7151
cryptomator,https://github.com/cryptomator/cryptomator,8.0,127,7151
WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,6.0,20,7135
capacitor,https://github.com/ionic-team/capacitor,4.0,75,7131
AndroidPdfViewer,https://github.com/barteksc/AndroidPdfViewer,5.0,0,7093
otter,https://github.com/alibaba/otter,8.0,10,7085
jna,https://github.com/java-native-access/jna,11.0,0,7053
onedev,https://github.com/theonedev/onedev,3.0,112,7051
metersphere,https://github.com/metersphere/metersphere,2.0,138,7038
COLA,https://github.com/alibaba/COLA,4.0,4,7009
android-classyshark,https://github.com/google/android-classyshark,6.0,17,6983
SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,7.0,0,6967
swagger-core,https://github.com/swagger-api/swagger-core,10.0,72,6953
checkstyle,https://github.com/checkstyle/checkstyle,8.0,114,6953
RePlugin,https://github.com/Qihoo360/RePlugin,4.0,17,6937
algs4,https://github.com/kevin-wayne/algs4,6.0,0,6926
MVVMHabit,https://github.com/goldze/MVVMHabit,4.0,3,6913
SpringCloud-Learning,https://github.com/dyc87112/SpringCloud-Learning,5.0,0,6906
EhViewer,https://github.com/seven332/EhViewer,7.0,97,6906
okhttputils,https://github.com/hongyangAndroid/okhttputils,6.0,0,6865
JsonPath,https://github.com/json-path/JsonPath,11.0,8,6800
Mapper,https://github.com/abel533/Mapper,7.0,2,6788
RIBs,https://github.com/uber/RIBs,4.0,4,6792
kkFileView,https://github.com/kekingcn/kkFileView,4.0,10,6791
DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,0.0,0,6759
DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,6.0,2,6708
AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,6.0,0,6694
spring-security,https://github.com/spring-projects/spring-security,10.0,95,6691
Timber,https://github.com/naman14/Timber,6.0,5,6676
LeetCode,https://github.com/yuanguangxin/LeetCode,2.0,0,6650
sonarqube,https://github.com/SonarSource/sonarqube,11.0,25,6645
elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,7.0,189,6646
xmall,https://github.com/Exrick/xmall,4.0,0,6593
tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,2.0,0,6593
AndPermission,https://github.com/yanzhenjie/AndPermission,5.0,0,6552
k-9,https://github.com/k9mail/k-9,11.0,127,6526
im-server,https://github.com/wildfirechat/im-server,3.0,64,6504
angel,https://github.com/Angel-ML/angel,5.0,19,6500
VBlog,https://github.com/lenve/VBlog,4.0,0,6489
debezium,https://github.com/debezium/debezium,6.0,0,6470
flyway,https://github.com/flyway/flyway,9.0,135,6462
gocd,https://github.com/gocd/gocd,8.0,71,6405
closure-compiler,https://github.com/google/closure-compiler,8.0,0,6397
walle,https://github.com/Meituan-Dianping/walle,5.0,1,6361
android-floating-action-button,https://github.com/zendesk/android-floating-action-button,7.0,0,6361
storm,https://github.com/apache/storm,8.0,0,6335
react-native-push-notification,https://github.com/zo0r/react-native-push-notification,6.0,35,6327
languagetool,https://github.com/languagetool-org/languagetool,8.0,0,6325
FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,9.0,15,6323
Toasty,https://github.com/GrenderG/Toasty,5.0,19,6315
AndroidPerformanceMonitor,https://github.com/markzhai/AndroidPerformanceMonitor,6.0,0,6311
ion,https://github.com/koush/ion,8.0,0,6303
RoundedImageView,https://github.com/vinc3m1/RoundedImageView,9.0,19,6302
XPopup,https://github.com/li-xiaojun/XPopup,3.0,176,6300
nanohttpd,https://github.com/NanoHttpd/nanohttpd,9.0,3,6279
spider-flow,https://github.com/ssssssss-team/spider-flow,2.0,2,6290
Shadow,https://github.com/Tencent/Shadow,2.0,3,6273
processing,https://github.com/processing/processing,9.0,48,6189
haven,https://github.com/guardianproject/haven,5.0,37,6176
airbyte,https://github.com/airbytehq/airbyte,1.0,190,6177
mybatis-generator-gui,https://github.com/zouzg/mybatis-generator-gui,5.0,16,6147
SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,8.0,0,6140
MaterialEditText,https://github.com/rengwuxian/MaterialEditText,7.0,19,6117
ansj_seg,https://github.com/NLPchina/ansj_seg,9.0,3,6105
BookReader,https://github.com/smuyyh/BookReader,5.0,0,6079
graylog2-server,https://github.com/Graylog2/graylog2-server,12.0,0,6074
react-native-video,https://github.com/react-native-video/react-native-video,7.0,6,6076
EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,7.0,0,6046
material,https://github.com/rey5137/material,7.0,10,6046
Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,7.0,32,6037
physical-web,https://github.com/google/physical-web,7.0,17,6036
incubator-shenyu,https://github.com/apache/incubator-shenyu,3.0,5,6016
jmeter,https://github.com/apache/jmeter,12.0,0,6011
remusic,https://github.com/aa112901/remusic,6.0,0,5988
NumberProgressBar,https://github.com/daimajia/NumberProgressBar,8.0,3,5981
androidmvp,https://github.com/antoniolg/androidmvp,8.0,0,5963
dynamic-load-apk,https://github.com/singwhatiwanna/dynamic-load-apk,8.0,0,5963
react-native-svg,https://github.com/react-native-svg/react-native-svg,6.0,76,5963
cachecloud,https://github.com/sohutv/cachecloud,6.0,6,5966
tomcat,https://github.com/apache/tomcat,10.0,0,5948
async-http-client,https://github.com/AsyncHttpClient/async-http-client,11.0,0,5928
aeron,https://github.com/real-logic/aeron,8.0,79,5916
xUtils3,https://github.com/wyouflf/xUtils3,6.0,9,5915
error-prone,https://github.com/google/error-prone,7.0,17,5911
spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,4.0,0,5887
j2objc,https://github.com/google/j2objc,8.0,39,5872
JFoenix,https://github.com/sshahine/JFoenix,6.0,0,5824
springside4,https://github.com/springside/springside4,10.0,3,5787
Android-skin-support,https://github.com/ximsfei/Android-skin-support,5.0,0,5779
